DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2020-09-28 00:00:00,15,136000000000001,0,3E+016,2020-09-28 00:00:00,,
2020-10-05 00:00:00,11,78,0,2839999999999999,2020-10-05 00:00:00,,
2020-10-12 00:00:00,12,234,0,5480000000000002,2020-10-12 00:00:00,,
2020-10-19 00:00:00,12,9525,0,1125,2020-10-19 00:00:00,,
2020-10-26 00:00:00,18,782,0,6759999999999999,2020-10-26 00:00:00,,
2020-11-02 00:00:00,16,898000000000003,0,638,2020-11-02 00:00:00,,
2020-11-09 00:00:00,15,175999999999998,0,76,2020-11-09 00:00:00,,
2020-11-16 00:00:00,9,988000000000001,0,96,2020-11-16 00:00:00,,
2020-11-23 00:00:00,7,5425,0,"3,175E+016",2020-11-23 00:00:00,,
2020-11-30 00:00:00,8,384,0,"2,52E+016",2020-11-30 00:00:00,,
2020-12-07 00:00:00,8,32,0,8000000000000007,2020-12-07 00:00:00,,
2020-12-14 00:00:00,8,354000000000001,0,4E+016,2020-12-14 00:00:00,,
2020-12-21 00:00:00,8,7275,0,375,2020-12-21 00:00:00,,
2020-12-28 00:00:00,5,609999999999999,0,"5,25E+016",2020-12-28 00:00:00,,
2021-01-04 00:00:00,14,524000000000001,0,268,2021-01-04 00:00:00,,
2021-01-11 00:00:00,9,175,0,"2,15E+016",2021-01-11 00:00:00,,
2021-01-18 00:00:00,7,165,0,2975,2021-01-18 00:00:00,,
2021-01-25 00:00:00,18,584000000000003,0,6679999999999999,2021-01-25 00:00:00,,
2021-02-01 00:00:00,9,224,0,5780000000000001,2021-02-01 00:00:00,,
2021-02-08 00:00:00,7,978,0,188,2021-02-08 00:00:00,,
2021-02-15 00:00:00,8,1325,0,6999999999999999,2021-02-15 00:00:00,,
2000-01-03 00:00:00,,,2000-01-03 00:00:00,19,78,,
2000-01-24 21:48:53,,,2000-01-24 21:48:53,18,28888888888886,,
2000-02-07 21:48:53,,,2000-02-07 21:48:53,17,913999999999998,,
2000-02-21 21:48:53,,,2000-02-21 21:48:53,19,71111111111111,,
2000-03-06 21:48:53,,,2000-03-06 21:48:53,18,639,,
2000-03-20 21:48:53,,,2000-03-20 21:48:53,20,357999999999997,,
2000-04-03 21:48:53,,,2000-04-03 21:48:53,23,558,,
2000-04-17 21:48:53,,,2000-04-17 21:48:53,26,374444444444446,,
2000-05-01 21:48:53,,,2000-05-01 21:48:53,17,404,,
2000-05-15 21:48:53,,,2000-05-15 21:48:53,20,705000000000002,,
2000-05-29 21:48:53,,,2000-05-29 21:48:53,20,402222222222225,,
2000-06-12 21:48:53,,,2000-06-12 21:48:53,12,331,,
2000-06-26 21:48:53,,,2000-06-26 21:48:53,11,995,,
2000-07-10 21:48:53,,,2000-07-10 21:48:53,11,167777777777777,,
2000-07-24 21:48:53,,,2000-07-24 21:48:53,14,350000000000003,,
2000-08-07 21:48:53,,,2000-08-07 21:48:53,10,763,,
2000-08-21 21:48:53,,,2000-08-21 21:48:53,9,144000000000002,,
2000-09-04 21:48:53,,,2000-09-04 21:48:53,10,6666666666668,,
2000-09-18 21:48:53,,,2000-09-18 21:48:53,12,819999999999999,,
2000-10-02 21:48:53,,,2000-10-02 21:48:53,16,378,,
2000-10-16 21:48:53,,,2000-10-16 21:48:53,23,823999999999998,,
2000-10-30 21:48:53,,,2000-10-30 21:48:53,17,583333333333332,,
2000-11-13 21:48:53,,,2000-11-13 21:48:53,19,185,,
2000-11-27 21:48:53,,,2000-11-27 21:48:53,19,52111111111111,,
2000-12-11 21:48:53,,,2000-12-11 21:48:53,16,633999999999997,,
